Date,Price,Open,High,Low,Vol,Change,200EMA,20EMA
2022.07.05,1.0266,1.0419,1.045,1.0235,85140,-1.49,1.1026,1.0497
2022.07.04,1.0421,1.0424,1.0464,1.0417,68800,-0.07,1.1033,1.0521
2022.07.01,1.0428,1.0481,1.0487,1.0366,68090,-0.52,1.104,1.0532
2022.06.30,1.0482,1.0441,1.0489,1.0382,83870,0.41,1.1046,1.0543
2022.06.29,1.0439,1.0518,1.0537,1.0434,90480,-0.75,1.1051,1.0549
2022.06.28,1.0518,1.0585,1.0607,1.0503,92980,-0.61,1.1058,1.0561
2022.06.27,1.0583,1.0555,1.0616,1.0549,86890,0.27,1.1063,1.0565
2022.06.24,1.0554,1.0526,1.0572,1.0511,88510,0.29,1.1068,1.0563
2022.06.23,1.0523,1.0567,1.0582,1.0482,111480,-0.4,1.1073,1.0564
2022.06.22,1.0565,1.0527,1.0606,1.0468,84040,0.38,1.1079,1.0569
2022.06.21,1.0525,1.051,1.0583,1.0508,83470,0.15,1.1084,1.0569
2022.06.20,1.0509,1.0472,1.0546,1.0472,76940,0.1,1.1089,1.0574
2022.06.17,1.0498,1.0548,1.056,1.0445,85550,-0.46,1.1095,1.058
2022.06.16,1.0547,1.0442,1.0602,1.0381,138960,1,1.1101,1.0589
2022.06.15,1.0443,1.0417,1.0509,1.0359,104810,0.28,1.1107,1.0593
2022.06.14,1.0414,1.0411,1.0486,1.0396,86870,0.06,1.1113,1.0609
2022.06.13,1.0408,1.0513,1.052,1.04,75500,-1.02,1.112,1.063
2022.06.10,1.0515,1.0617,1.0644,1.0505,70020,-0.93,1.1128,1.0653
2022.06.09,1.0614,1.0717,1.0775,1.0611,79980,-0.93,1.1134,1.0668
2022.06.08,1.0714,1.07,1.0749,1.0671,57450,0.14,1.1139,1.0673
2022.06.07,1.0699,1.0695,1.0715,1.0652,62170,0.05,1.1143,1.0669
2022.06.06,1.0694,1.0722,1.0753,1.0683,61180,-0.22,1.1148,1.0666
2022.06.03,1.0718,1.0747,1.0765,1.0704,36970,-0.25,1.1152,1.0663
2022.06.02,1.0745,1.0649,1.0751,1.0645,52860,0.93,1.1157,1.0657
2022.06.01,1.0646,1.0734,1.0739,1.0626,57340,-0.81,1.1161,1.0648
2022.05.31,1.0733,1.0778,1.078,1.0678,72220,-0.41,1.1166,1.0648
2022.05.30,1.0777,1.0737,1.0788,1.0726,54770,0.47,1.117,1.0639
2022.05.27,1.0727,1.0726,1.0766,1.0697,64640,0.03,1.1174,1.0625
2022.05.26,1.0724,1.0684,1.0733,1.0662,64319,0.41,1.1179,1.0614
2022.05.25,1.068,1.0735,1.074,1.0642,73490,-0.5,1.1183,1.0602
2022.05.24,1.0734,1.069,1.0749,1.0661,68660,0.42,1.1188,1.0594
2022.05.23,1.0689,1.0572,1.0698,1.0558,72250,1.22,1.1193,1.0579
2022.05.20,1.056,1.0586,1.0599,1.0532,79330,-0.25,1.1198,1.0568
2022.05.19,1.0586,1.047,1.0608,1.046,78990,1.15,1.1204,1.0569
2022.05.18,1.0466,1.0549,1.0565,1.046,79530,-0.77,1.1211,1.0567
2022.05.17,1.0547,1.0434,1.0556,1.0429,76970,1.11,1.1218,1.0577
2022.05.16,1.0431,1.0405,1.0444,1.0388,63920,0.19,1.1225,1.0581
2022.05.13,1.0411,1.0379,1.0421,1.035,75660,0.31,1.1233,1.0596
2022.05.12,1.0379,1.0512,1.053,1.0353,103610,-1.26,1.1241,1.0616
2022.05.11,1.0511,1.0529,1.0577,1.0502,107910,-0.15,1.125,1.0641
2022.05.10,1.0527,1.0557,1.0586,1.0525,71600,-0.27,1.1257,1.0655
2022.05.09,1.0555,1.0552,1.0594,1.0495,66960,0.04,1.1265,1.0668
2022.05.06,1.0551,1.0544,1.0601,1.0482,84530,0.1,1.1272,1.068
2022.05.05,1.054,1.0623,1.0642,1.0493,85990,-0.76,1.1279,1.0693
2022.05.04,1.0621,1.0516,1.0632,1.0505,64709,0.96,1.1286,1.071
2022.05.03,1.052,1.0502,1.0579,1.0491,68530,0.15,1.1293,1.0719
2022.05.02,1.0504,1.055,1.0569,1.049,49740,-0.35,1.1301,1.074
2022.04.29,1.0541,1.0498,1.0593,1.0491,87170,0.45,1.1309,1.0765
2022.04.28,1.0494,1.0557,1.0566,1.0471,89070,-0.58,1.1317,1.0788
2022.04.27,1.0555,1.0638,1.0655,1.0513,89560,-0.76,1.1325,1.0819
2022.04.26,1.0636,1.0713,1.074,1.0635,91480,-0.7,1.1333,1.0847
2022.04.25,1.0711,1.0841,1.0842,1.0697,98740,-0.77,1.134,1.0869
2022.04.22,1.0794,1.0838,1.0853,1.077,74460,-0.39,1.1346,1.0886
2022.04.21,1.0836,1.0853,1.0937,1.0824,85690,-0.13,1.1351,1.0896
2022.04.20,1.085,1.0788,1.0868,1.0783,83760,0.59,1.1357,1.0902
2022.04.19,1.0786,1.0783,1.0815,1.0761,77560,0.06,1.1362,1.0907
2022.04.18,1.078,1.0805,1.0822,1.0769,34700,-0.24,1.1367,1.092
2022.04.15,1.0806,1.0828,1.0832,1.0796,39970,-0.19,1.1373,1.0935
2022.04.14,1.0827,1.0887,1.0925,1.0757,86690,-0.53,1.1379,1.0948
2022.04.13,1.0885,1.083,1.0896,1.0809,74810,0.54,1.1385,1.0961
2022.04.12,1.0826,1.0882,1.0905,1.0821,55120,-0.52,1.139,1.0969
2022.04.11,1.0883,1.0935,1.0951,1.0872,61060,0.06,1.1395,1.0984
2022.04.08,1.0876,1.0879,1.0892,1.0836,56370,-0.02,1.14,1.0995
2022.04.07,1.0878,1.0893,1.0939,1.0864,63150,-0.14,1.1406,1.1007
2022.04.06,1.0893,1.0906,1.0939,1.0874,57660,-0.09,1.1411,1.1021
2022.04.05,1.0903,1.0973,1.099,1.0899,50420,-0.61,1.1416,1.1035
2022.04.04,1.097,1.1039,1.1056,1.096,70480,-0.75,1.1421,1.1048
2022.04.01,1.1053,1.1065,1.1077,1.1027,96870,-0.11,1.1426,1.1057
2022.03.31,1.1065,1.1158,1.1185,1.1061,77250,-0.82,1.143,1.1057
