Date,Price,Open,High,Low,Vol,Change,200EMA
2022.07.20,1.0177,1.0228,1.0274,1.0155,92860,-0.46,1.093135814
2022.07.19,1.0224,1.0143,1.027,1.012,80210,0.82,1.093893963
2022.07.18,1.0141,1.0085,1.0202,1.0078,74880,0.54,1.094612495
2022.07.15,1.0087,1.0018,1.0099,1.0007,77730,0.71,1.095421666
2022.07.14,1.0016,1.0061,1.0065,0.9952,89570,-0.44,1.096293241
2022.07.13,1.006,1.004,1.0123,0.9998,82540,0.24,1.097244931
2022.07.12,1.0036,1.004,1.0074,0.9999,87760,-0.03,1.098161966
2022.07.11,1.0039,1.0173,1.0185,1.0034,77380,-1.41,1.099112338
2022.07.08,1.0183,1.0159,1.0193,1.0072,90460,0.24,1.100069245
2022.07.07,1.0159,1.0181,1.0222,1.0144,86850,-0.22,1.100891047
2022.07.06,1.0181,1.0268,1.0277,1.0161,95910,-0.83,1.101745228
2022.07.05,1.0266,1.0419,1.045,1.0235,85140,-1.49,1.102585884
2022.07.04,1.0421,1.0424,1.0464,1.0417,68800,-0.07,1.103349561
2022.07.01,1.0428,1.0481,1.0487,1.0366,68090,-0.52,1.103965135
2022.06.30,1.0482,1.0441,1.0489,1.0382,83870,0.41,1.104579859
2022.06.29,1.0439,1.0518,1.0537,1.0434,90480,-0.75,1.105146491
2022.06.28,1.0518,1.0585,1.0607,1.0503,92980,-0.61,1.105762034
2022.06.27,1.0583,1.0555,1.0616,1.0549,86890,0.27,1.106304366
2022.06.24,1.0554,1.0526,1.0572,1.0511,88510,0.29,1.106786822
2022.06.23,1.0523,1.0567,1.0582,1.0482,111480,-0.4,1.107303272
2022.06.22,1.0565,1.0527,1.0606,1.0468,84040,0.38,1.107856069
2022.06.21,1.0525,1.051,1.0583,1.0508,83470,0.15,1.10837221
2022.06.20,1.0509,1.0472,1.0546,1.0472,76940,0.1,1.10893374
2022.06.17,1.0498,1.0548,1.056,1.0445,85550,-0.46,1.109516994
2022.06.16,1.0547,1.0442,1.0602,1.0381,138960,1,1.110117165
2022.06.15,1.0443,1.0417,1.0509,1.0359,104810,0.28,1.110674121
2022.06.14,1.0414,1.0411,1.0486,1.0396,86870,0.06,1.111341198
2022.06.13,1.0408,1.0513,1.052,1.04,75500,-1.02,1.112044124
2022.06.10,1.0515,1.0617,1.0644,1.0505,70020,-0.93,1.112760146
2022.06.09,1.0614,1.0717,1.0775,1.0611,79980,-0.93,1.113375825
2022.06.08,1.0714,1.07,1.0749,1.0671,57450,0.14,1.113898196
2022.06.07,1.0699,1.0695,1.0715,1.0652,62170,0.05,1.114325313
2022.06.06,1.0694,1.0722,1.0753,1.0683,61180,-0.22,1.114771799
2022.06.03,1.0718,1.0747,1.0765,1.0704,36970,-0.25,1.115227797
2022.06.02,1.0745,1.0649,1.0751,1.0645,52860,0.93,1.115664257
2022.06.01,1.0646,1.0734,1.0739,1.0626,57340,-0.81,1.116077968
2022.05.31,1.0733,1.0778,1.078,1.0678,72220,-0.41,1.116595335
2022.05.30,1.0777,1.0737,1.0788,1.0726,54770,0.47,1.117030464
2022.05.27,1.0727,1.0726,1.0766,1.0697,64640,0.03,1.117425745
2022.05.26,1.0724,1.0684,1.0733,1.0662,64319,0.41,1.11787525
2022.05.25,1.068,1.0735,1.074,1.0642,73490,-0.5,1.118332287
2022.05.24,1.0734,1.069,1.0749,1.0661,68660,0.42,1.118838139
2022.05.23,1.0689,1.0572,1.0698,1.0558,72250,1.22,1.119294804
2022.05.20,1.056,1.0586,1.0599,1.0532,79330,-0.25,1.119801284
2022.05.19,1.0586,1.047,1.0608,1.046,78990,1.15,1.120442503
2022.05.18,1.0466,1.0549,1.0565,1.046,79530,-0.77,1.121064036
2022.05.17,1.0547,1.0434,1.0556,1.0429,76970,1.11,1.121812418
2022.05.16,1.0431,1.0405,1.0444,1.0388,63920,0.19,1.122486915
2022.05.13,1.0411,1.0379,1.0421,1.035,75660,0.31,1.123284774
2022.05.12,1.0379,1.0512,1.053,1.0353,103610,-1.26,1.124110751
2022.05.11,1.0511,1.0529,1.0577,1.0502,107910,-0.15,1.124977191
2022.05.10,1.0527,1.0557,1.0586,1.0525,71600,-0.27,1.125719675
2022.05.09,1.0555,1.0552,1.0594,1.0495,66960,0.04,1.126453541
2022.05.06,1.0551,1.0544,1.0601,1.0482,84530,0.1,1.127166642
2022.05.05,1.054,1.0623,1.0642,1.0493,85990,-0.76,1.12789093
2022.05.04,1.0621,1.0516,1.0632,1.0505,64709,0.96,1.128633552
2022.05.03,1.052,1.0502,1.0579,1.0491,68530,0.15,1.129302231
2022.05.02,1.0504,1.055,1.0569,1.049,49740,-0.35,1.130079138
2022.04.29,1.0541,1.0498,1.0593,1.0491,87170,0.45,1.130879934
2022.04.28,1.0494,1.0557,1.0566,1.0471,89070,-0.58,1.131651591
2022.04.27,1.0555,1.0638,1.0655,1.0513,89560,-0.76,1.13247824
2022.04.26,1.0636,1.0713,1.074,1.0635,91480,-0.7,1.133251891
2022.04.25,1.0711,1.0841,1.0842,1.0697,98740,-0.77,1.13395191
2022.04.22,1.0794,1.0838,1.0853,1.077,74460,-0.39,1.134583588
2022.04.21,1.0836,1.0853,1.0937,1.0824,85690,-0.13,1.135138196
2022.04.20,1.085,1.0788,1.0868,1.0783,83760,0.59,1.135656168
2022.04.19,1.0786,1.0783,1.0815,1.0761,77560,0.06,1.136165275
2022.04.18,1.078,1.0805,1.0822,1.0769,34700,-0.24,1.136743821
2022.04.15,1.0806,1.0828,1.0832,1.0796,39970,-0.19,1.137334211
2022.04.14,1.0827,1.0887,1.0925,1.0757,86690,-0.53,1.137904404
2022.04.13,1.0885,1.083,1.0896,1.0809,74810,0.54,1.138459222
2022.04.12,1.0826,1.0882,1.0905,1.0821,55120,-0.52,1.138961325
2022.04.11,1.0883,1.0935,1.0951,1.0872,61060,0.06,1.139527771
2022.04.08,1.0876,1.0879,1.0892,1.0836,56370,-0.02,1.140042622
2022.04.07,1.0878,1.0893,1.0939,1.0864,63150,-0.14,1.140569684
2022.04.06,1.0893,1.0906,1.0939,1.0874,57660,-0.09,1.141100033
2022.04.05,1.0903,1.0973,1.099,1.0899,50420,-0.61,1.141620636
2022.04.04,1.097,1.1039,1.1056,1.096,70480,-0.75,1.142136421
2022.04.01,1.1053,1.1065,1.1077,1.1027,96870,-0.11,1.142590054
2022.03.31,1.1065,1.1158,1.1185,1.1061,77250,-0.82,1.142964828
2022.03.30,1.1156,1.1087,1.1171,1.1083,82340,0.64,1.143331309
2022.03.29,1.1085,1.098,1.1137,1.097,84950,0.97,1.143610015
2022.03.28,1.0978,1.0989,1.1,1.0944,58630,-0.03,1.14396288
2022.03.25,1.0981,1.0994,1.1039,1.0979,55190,-0.14,1.144426828
2022.03.24,1.0996,1.1004,1.1014,1.0965,54040,-0.07,1.144892425
2022.03.23,1.1004,1.1027,1.1044,1.0963,62580,-0.21,1.145347625
2022.03.22,1.1027,1.1018,1.1047,1.096,67250,0.12,1.14579936
2022.03.21,1.1014,1.1059,1.107,1.101,64420,-0.37,1.146232519
2022.03.18,1.1055,1.1091,1.112,1.1003,58860,-0.31,1.146683097
2022.03.17,1.1089,1.1036,1.1138,1.1008,76720,0.52,1.147096998
2022.03.16,1.1032,1.0956,1.1048,1.0948,83230,0.74,1.147480887
2022.03.15,1.0951,1.094,1.102,1.0926,80800,0.11,1.147925921
2022.03.14,1.0939,1.0943,1.0994,1.09,69050,0.28,1.148456835
2022.03.11,1.0909,1.0984,1.1044,1.0901,87090,-0.67,1.149005145
2022.03.10,1.0983,1.1075,1.1121,1.0976,88310,-0.83,1.149589116
2022.03.09,1.1075,1.0903,1.1096,1.089,100090,1.61,1.150104585
2022.03.08,1.0899,1.0855,1.096,1.0848,99680,0.43,1.150532771
2022.03.07,1.0852,1.0953,1.0953,1.0805,100000,-0.68,1.151142146
2022.03.04,1.0926,1.1068,1.1069,1.0886,82960,-1.25,1.151804881
2022.03.03,1.1064,1.1118,1.1125,1.1033,78700,-0.51,1.152399905
2022.03.02,1.1121,1.1127,1.1147,1.1057,79280,-0.04,1.152862216
2022.03.01,1.1126,1.1218,1.1234,1.109,89110,-0.83,1.153271886
2022.02.28,1.1219,1.1179,1.1247,1.1122,86100,-0.43,1.153680649
2022.02.25,1.1267,1.1192,1.1275,1.1165,79320,0.68,1.154000052
2022.02.24,1.1191,1.1313,1.1314,1.1106,103420,-1.04,1.154274425
