"((((1.2595, 117.8789), -80000), -20), 0)"
"((((1.4857, 82.9422), -80000), 0), 0)"
"((((1.4857, 82.9422), -80000), 3.141592653589793), 0)"
"((((1.4545, 117.8789), -60000), -20), 0)"
"((((1.5091, 54.5179), -20000), 0), 0)"
"((((1.4779, 82.9422), -100000), 3.141592653589793), 0)"
"((((1.3765, 117.8789), -40000), 3.141592653589793), 0)"
"((((1.4233, 198.8483), -40000), 0), 0)"
"((((1.3531, 82.9422), -80000), 3.141592653589793), 0)"
"((((1.4155, 33.9805), -100000), 0), 0)"
"((((1.2673, 157.9964), -60000), -20), 0)"
"((((1.1737, 157.9964), 80000), -3.141592653589793), 0)"
"((((1.1737, 157.9964), 80000), 20), 0)"
"((((1.3297, 157.9964), -100000), 3.141592653589793), 0)"
"((((1.4311, 198.8483), -100000), 0), 0)"
"((((1.4311, 82.9422), -100000), 3.141592653589793), 0)"
"((((1.4623, 198.8483), -60000), 0), 0)"
"((((1.4623, 198.8483), -60000), -20), 0)"
"((((1.0021, 33.9805), -100000), 3.141592653589793), 0)"
"((((0.9787, 33.9805), 80000), 0), 0)"
"((((1.0099, 157.9964), -80000), 3.141592653589793), 0)"
"((((0.9787, 82.9422), 60000), 20), 0)"
"((((1.0255, 198.8483), 60000), 0), 0)"
"((((1.0255, 198.8483), 60000), 20), 0)"
"((((0.9631, 82.9422), 60000), 20), 0)"
"((((0.9553, 54.5179), -100000), 0), 0)"
"((((1.0021, 157.9964), -40000), 0), 0)"
"((((1.0099, 82.9422), -60000), -20), 0)"
"((((1.4701, 33.9805), 80000), -3.141592653589793), 0)"
"((((1.5403, 33.9805), 40000), 0), 0)"
"((((1.5403, 33.9805), 40000), 20), 0)"
"((((1.5325, 54.5179), -40000), 0), 0)"
"((((1.5325, 54.5179), -40000), 3.141592653589793), 0)"
"((((1.5715, 33.9805), 60000), 20), 0)"
"((((1.5091, 157.9964), 40000), 0), 0)"
"((((1.5091, 157.9964), 40000), 20), 0)"
"((((1.5013, 198.8483), 80000), -3.141592653589793), 0)"
"((((1.5013, 198.8483), 80000), 20), 0)"
"((((1.4077, 82.9422), -80000), 3.141592653589793), 0)"
"((((1.3141, 82.9422), 60000), -3.141592653589793), 0)"
"((((1.3765, 117.8789), 60000), 0), 0)"
"((((1.4467, 82.9422), 60000), 0), 0)"
"((((1.3843, 20.6193), 80000), 0), 0)"
"((((1.3687, 117.8789), -60000), 3.141592653589793), 0)"
"((((1.3687, 117.8789), -60000), -20), 0)"
"((((1.0801, 157.9964), -80000), 3.141592653589793), 0)"
"((((1.0801, 157.9964), -80000), -20), 0)"
"((((1.1191, 198.8483), -60000), -20), 0)"
"((((1.0957, 82.9422), -60000), 0), 0)"
"((((1.2283, 117.8789), 100000), 0), 0)"
"((((1.1815, 198.8483), -80000), 0), 0)"
"((((1.1815, 198.8483), -80000), 3.141592653589793), 0)"
"((((1.4701, 54.5179), 80000), -3.141592653589793), 0)"
"((((1.4701, 54.5179), 80000), 20), 0)"
"((((1.3687, 198.8483), 80000), -3.141592653589793), 0)"
"((((1.3687, 198.8483), 80000), 20), 0)"
"((((1.3843, 198.8483), 80000), -3.141592653589793), 0)"
"((((1.3843, 198.8483), 80000), 20), 0)"
"((((1.1659, 157.9964), -80000), 3.141592653589793), 0)"
"((((0.9241, 198.8483), 80000), 0), 0)"
"((((0.9241, 198.8483), 80000), 20), 0)"
"((((0.8929, 117.8789), 40000), -3.141592653589793), 0)"
"((((0.8929, 117.8789), 40000), 20), 0)"
"((((0.9553, 82.9422), 100000), 0), 0)"
"((((1.0255, 54.5179), -80000), -20), 0)"
"((((0.9397, 157.9964), -60000), 3.141592653589793), 0)"
"((((0.9397, 157.9964), -60000), -20), 0)"
"((((0.9475, 117.8789), 100000), 0), 0)"
"((((0.9397, 54.5179), 80000), 0), 0)"
